time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl
1003,109,780.01,151.19951563999996,222,223232,2550,0.878008246421814,13.277235145680606,0.2,5.395790100097656,0.23291015625,0.0003,0.5170885324478149,-0.004423452218179591,-2.972557635605335,0.017095428
1003,110,789.82,155.16897205999996,224,225280,2560,0.4970102906227112,6.569104012660683,0.2,4.903287887573242,0.26474609375,0.0003,0.5182878971099854,-0.00953087980451528,-2.993396931886673,0.019651385
1003,111,786.29,153.44047519999998,226,227328,2570,0.5460654497146606,6.374665922578425,0.2,13.48685359954834,0.24326171875,0.0003,0.5142368674278259,-0.009063705541484524,-2.9737992867827416,0.01667158
1003,112,795.12,155.03247646999998,228,229376,2580,0.9242240190505981,8.949303866922856,0.2,2.3773019313812256,0.178857421875,0.0003,0.5125328302383423,-0.008772477897582575,-2.9541938439011575,0.019752765
1003,113,810.28,162.15857019999999,230,231424,2590,0.8659107685089111,8.304079561308026,0.2,2.132291793823242,0.15302734375,0.0003,0.5124972462654114,-0.008868317217275035,-2.9505525842308997,0.01519005
1003,114,807.48,161.39003680999997,232,233472,2600,0.5952121615409851,6.884773947671055,0.2,2.551367998123169,0.265087890625,0.0003,0.5116899013519287,-0.011046819895273074,-2.9414758041501043,0.024646983
1003,115,813.19,162.84705979,234,235520,2610,0.9062865972518921,13.334816734120249,0.2,5.508322238922119,0.227587890625,0.0003,0.5151042938232422,-0.014880651797284372,-2.9645363241434097,0.0188291
1003,116,807.97,160.08479216,236,237568,2620,0.8185771107673645,17.270158122107386,0.2,19.569822311401367,0.113818359375,0.0003,0.5139864087104797,-0.007134447280259337,-2.974303813278675,0.012838199
1003,117,816.64,163.59884914,238,239616,2630,0.8712089657783508,50.74777322411537,0.2,22.374025344848633,0.075244140625,0.0003,0.5142353773117065,-0.008127954902010969,-2.97041055560112,0.00806962
1003,118,827.78,167.47348033999998,240,241664,2640,0.8583325147628784,24.42138854190707,0.2,9.355093002319336,0.202490234375,0.0003,0.5146112442016602,-0.005670012993505225,-2.9707529336214065,0.018568667
