#{"t_start": 1760833005.378652, "env_id": "BipedalWalker-v3"}
r,l,t
-111.149987,69,1412.94143
-113.788868,58,1412.973791
-111.026972,69,1413.011463
-113.826969,53,1425.761992
-112.5727,50,1425.78948
-113.616375,52,1425.817914
-111.702723,59,1425.850565
-113.713031,57,1425.881431
-112.200775,62,1438.405079
-114.303067,67,1438.440981
-113.366695,62,1438.474438
-114.91052,57,1438.505306
-114.540512,57,1438.536634
-115.831296,60,1451.084438
-114.30784,56,1451.115222
-116.218528,60,1451.147607
-111.566699,60,1451.180501
-113.113729,63,1451.214729
239.54061,1138,1464.472216
-80.473244,245,1464.603274
-85.373898,259,1464.741171
230.184708,1253,1465.401371
232.190262,1229,1466.055805
-120.473684,102,1478.560626
-117.911228,111,1478.618817
-120.74326,123,1478.696742
-120.250367,106,1478.752185
-122.273313,113,1478.811028
-114.744195,48,1491.458231
-114.736738,48,1491.485002
-114.28302,48,1491.511627
-114.752515,48,1491.53818
-114.342356,48,1491.565349
-115.972517,80,1504.172582
-117.108214,76,1504.213828
-116.83019,75,1504.254366
-116.33551,73,1504.294081
-116.438398,79,1504.336369
-112.481807,54,1517.064342
-114.75496,48,1517.090771
-116.334871,39,1517.11262
-114.485109,48,1517.139418
-116.043003,39,1517.161456
-113.302364,63,1529.869046
-113.862987,56,1529.900267
-114.887003,47,1529.926247
-113.288407,62,1529.960098
-114.78459,47,1529.986161
-113.863117,59,1542.545158
-113.200081,60,1542.578145
-113.312109,60,1542.611041
-114.34292,58,1542.642787
-113.726736,60,1542.675787
-116.321752,45,1555.352586
-113.60394,53,1555.381963
-116.354747,45,1555.407119
-113.620853,53,1555.436261
-113.532487,53,1555.465236
-114.216918,77,1568.08743
-116.68198,58,1568.119159
-114.470645,62,1568.153055
-116.820693,58,1568.184816
-112.512027,60,1568.217518
-114.135524,54,1580.836453
-114.900928,44,1580.861082
-113.859265,52,1580.890092
-113.140884,52,1580.919157
-114.036016,54,1580.948584
-117.744232,46,1593.595176
-113.977833,58,1593.626978
-115.213169,43,1593.651339
-113.875309,57,1593.682853
-115.235971,43,1593.707366
-113.07355,54,1606.479012
-113.13401,54,1606.509277
-113.631134,54,1606.539511
-119.055422,82,1606.583811
-117.86081,63,1606.61894
-72.88087,261,1619.534324
-3.717996,474,1619.79077
250.652725,1038,1620.348783
-118.708737,98,1620.401804
-114.418497,52,1620.430593
-120.181767,97,1633.2054
-118.098605,98,1633.256613
-121.108607,105,1633.311899
-119.051489,89,1633.358804
-117.183115,93,1633.407738
-114.503164,67,1645.941415
-116.678611,61,1645.974553
-118.371808,61,1646.007954
-118.920443,90,1646.055975
-114.055529,65,1646.091166
-120.352626,118,1658.691747
263.80284,904,1659.197072
260.243469,937,1659.698246
24.239393,474,1659.954405
-110.984469,156,1660.03857
-123.027675,190,1672.752314
-10.965128,423,1672.977211
-91.983172,278,1673.126302
-123.765247,157,1673.209395
-126.045309,164,1673.294811
-49.574124,218,1685.9784
-37.778515,338,1686.158853
-33.199967,272,1686.303482
269.425822,859,1686.763174
-32.33457,312,1686.927255
-61.912802,347,1699.764616
-73.477355,255,1699.901746
40.552942,605,1700.240887
-113.860654,60,1700.274608
-116.56235,67,1700.311117
-117.617524,42,1712.790351
-117.592012,42,1712.814369
-117.624961,42,1712.838071
-117.795083,42,1712.861148
-117.669881,42,1712.885437
-116.725125,40,1725.407036
-116.962073,48,1725.434381
-113.67061,54,1725.464456
-116.777193,40,1725.486867
-116.710607,48,1725.513493
-116.285532,49,1738.12939
-114.77099,58,1738.160934
-115.730442,56,1738.19164
-114.995127,57,1738.222357
-116.220765,49,1738.24934
-118.542202,55,1750.813948
-117.343472,53,1750.843399
-116.887917,47,1750.869628
-117.05879,47,1750.896174
-116.636124,47,1750.923204
-116.436269,52,1763.615793
-116.433892,52,1763.644741
-116.37341,49,1763.671799
-114.900976,56,1763.702789
-114.655848,48,1763.72967
102.432142,802,1776.706925
-117.34715,47,1776.734851
-120.315757,50,1776.763973
-117.46254,47,1776.790647
-116.036555,59,1776.823809
254.238599,973,1790.010789
257.606897,936,1790.515961
258.820234,931,1791.013933
-40.336444,372,1791.216536
-46.928662,308,1791.380199
-42.711952,290,1804.262641
256.971241,948,1804.789752
-103.543595,158,1804.87641
-66.7696,231,1805.003733
-28.208317,353,1805.197205
116.105836,861,1818.532126
52.524332,612,1818.863577
62.215465,625,1819.192574
252.087569,985,1819.710612
256.979073,953,1820.209033
258.196061,939,1833.453005
261.954458,903,1833.969025
111.846769,954,1834.509708
251.51735,1002,1835.07908
256.528308,961,1835.589269
126.542115,860,1848.677327
78.648093,727,1849.06885
262.937795,906,1849.545419
-47.246488,299,1849.703618
257.62816,952,1850.208389
13.336425,466,1863.048514
260.979051,912,1863.535962
257.204911,951,1864.03914
263.285094,901,1864.516814
260.576478,913,1865.003009
261.870733,916,1877.980184
262.689515,900,1878.455679
