time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
50,653,156,1033.1515151515152,102400,-53.89995893939394,-5.644182462990284,490,0.033901891991263255,0.2,0.010280421,-0.01421939163992647,0.102734375,3e-05,0.5454071760177612,0.991561770439148,-0.07099238783121109,,
51,656,159,1038.82,104448,-52.638187050000006,-5.640749397873878,500,0.024915304384194314,0.2,0.007858608,-0.012745787817402742,0.08876953125,3e-05,0.7689173817634583,0.9912511110305786,-0.06265665590763092,,
52,659,161,1038.82,106496,-50.54717935000001,-5.639561842381954,510,0.031212934968061747,0.2,0.006047671,-0.008992959509487263,0.040087890625,3e-05,0.8565380573272705,0.9909037351608276,-0.06490575522184372,,
53,662,163,1061.03,108544,-48.111947320000006,-5.635772675275803,520,0.018422086085774936,0.2,0.007116586,-0.011907957377843559,0.07705078125,3e-05,0.8175005316734314,0.9892650842666626,-0.07605087757110596,,
,,,,110000,,-5.632687193155289,530,0.2232475980417803,0.2,0.0067076264,-0.00956339065451175,0.044970703125,3e-05,0.8705846667289734,0.9896818399429321,0.03138982504606247,123.4,-93.5790762
54,663,166,1046.09,110592,-46.35669672000001,,,,,,,,,,,,,
55,666,169,1070.25,112640,-43.65204407,-5.635641726851463,540,0.251740361598786,0.2,0.0058560832,-0.009514777481672353,0.04228515625,3e-05,0.6883161067962646,0.9905063509941101,0.07946178317070007,,
56,669,171,1085.86,114688,-41.57432712,-5.636446231603623,550,0.14138866550056264,0.2,0.007993235,-0.012052462875726633,0.081005859375,3e-05,0.8829359412193298,0.9899986982345581,-0.012811124324798584,,
57,671,173,1085.97,116736,-39.50399476000001,-5.633199942111969,560,0.05389728622394614,0.2,0.006936526,-0.01018042853102088,0.053271484375,3e-05,0.589798092842102,0.988965630531311,-0.06576888263225555,,
58,674,176,1085.97,118784,-37.421515480000004,-5.634733638167381,570,0.45944098979234693,0.2,0.0073861033,-0.006135557993547991,0.050048828125,3e-05,0.7117263078689575,0.9908925890922546,0.07935459911823273,,
,,,,120000,,-5.639672607183456,580,0.05893917208886705,0.2,0.0074856738,-0.011097218049690128,0.072265625,3e-05,0.5780186653137207,0.9912394285202026,-0.06252104789018631,97.4,-112.46837019999998
59,675,178,1101.15,120832,-32.99477615,,,,,,,,,,,,,
60,678,181,1117.04,122880,-30.997852820000002,-5.640079933404922,590,0.03382661393261514,0.2,0.0037534698,-0.006709412128839176,0.021826171875,3e-05,0.7412509918212891,0.9911714792251587,-0.05504850298166275,,
61,680,183,1102.59,124928,-27.95705307,-5.643219605088234,600,0.09978342888643965,0.2,0.006010444,-0.007604821855784394,0.04111328125,3e-05,0.7433556914329529,0.9928270578384399,-0.058960892260074615,,
62,682,186,1117.46,126976,-25.817098620000003,-5.649895547330379,610,0.17903411234728991,0.2,0.0064883167,-0.0047917632618919015,0.04716796875,3e-05,0.7737928032875061,0.9944794774055481,0.03510013222694397,,
63,684,188,1132.71,129024,-21.47045017,-5.654409563541412,620,0.15788419004529713,0.2,0.005249544,-0.007978111805277877,0.03359375,3e-05,0.8530709743499756,0.9949939846992493,-0.025483179837465286,,
,,,,130000,,-5.655564594268799,630,0.22469109161756934,0.2,0.006682234,-0.00938430366513785,0.05380859375,3e-05,0.8493328094482422,0.995029866695404,-0.002385355532169342,1304.2,92.9538216
64,673,194,1128.26,131072,-20.537598919999997,,,,,,,,,,,,,
65,675,197,1143.33,133120,-18.642572229999995,-5.656027671694756,640,0.25568914383184166,0.2,0.007488909,-0.012609138202969916,0.076611328125,3e-05,0.8378443121910095,0.9952776432037354,-0.006148137152194977,,
