train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,time/fps,train/std,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean
76599,0.23049181699752808,1287.4000244140625,0.0007,16600,-47.348487854003906,871,0.5027270317077637,95,-2.646914482116699,83000,137.95,-104.79518655
76699,-4200.1787109375,0.3217526972293854,0.0007,16700,-0.8461436629295349,871,0.49926915764808655,95,-2.618340015411377,83500,140.04,-104.97392153000001
76799,0.9034370183944702,0.012122037820518017,0.0007,16800,0.35388264060020447,871,0.4970044195652008,96,-2.609300374984741,84000,141.78,-105.19169358
76899,-0.3719770908355713,0.43555912375450134,0.0007,16900,2.31233549118042,871,0.4995598793029785,96,-2.626927375793457,84500,143.95,-105.41136542
76999,-6.606629848480225,0.10765532404184341,0.0007,17000,0.7169939279556274,871,0.49814215302467346,97,-2.61308217048645,85000,145.21,-105.60617486000002
77099,-5.122372150421143,1.8336031436920166,0.0007,17100,3.372826337814331,871,0.4956921637058258,98,-2.5896832942962646,85500,144.7,-105.63531905000002
77199,-2.187352418899536,1.762560486793518,0.0007,17200,4.833079814910889,871,0.49603164196014404,98,-2.584768056869507,86000,144.53,-105.56902781999999
77299,-0.42510151863098145,0.1494317352771759,0.0007,17300,-0.9440099596977234,871,0.49586349725723267,99,-2.5856564044952393,86500,143.31,-105.46497761999998
77399,-0.05512714385986328,0.4046035706996918,0.0007,17400,1.257167100906372,871,0.4978475570678711,99,-2.6097819805145264,87000,142.64,-105.36324845000001
77499,-36.70466995239258,1.766582727432251,0.0007,17500,-2.5388782024383545,871,0.4985807538032532,100,-2.6117870807647705,87500,143.01,-105.35578587000003
77599,0.9376616477966309,0.007253503892570734,0.0007,17600,-0.11855492740869522,871,0.4963850975036621,100,-2.6017866134643555,88000,145.24,-105.51986591000001
77699,-37.95201873779297,0.42323723435401917,0.0007,17700,-1.469486117362976,871,0.49375486373901367,101,-2.586057424545288,88500,146.38,-105.68778083000002
